"","municipio_regiao"
"371","Tamboara/RGI de Paranavaí"
"372","Tapejara/RGI de Cianorte"
"373","Tapira/RGI de Umuarama"
"374","Teixeira Soares/RGI de Irati"
"375","Telêmaco Borba/RGI de Telêmaco Borba"
"376","Terra Boa/RGI de Cianorte"
"377","Terra Rica/RGI de Paranavaí"
"378","Terra Roxa/RGI de Toledo"
"379","Tibagi/RGI de Telêmaco Borba"
"380","Tijucas do Sul/RGI de Curitiba"
"381","Toledo/RGI de Toledo"
"382","Tomazina/RGI de Santo Antônio da Platina"
"383","Três Barras do Paraná/RGI de Cascavel"
"384","Tunas do Paraná/RGI de Curitiba"
"385","Tuneiras do Oeste/RGI de Cianorte"
"386","Tupãssi/RGI de Toledo"
"387","Turvo/RGI de Guarapuava"
"388","Ubiratã/RGI de Campo Mourão"
"389","Umuarama/RGI de Umuarama"
"390","União da Vitória/RGI de União da Vitória"
"391","Uniflor/RGI de Maringá"
"392","Uraí/RGI de Cornélio Procópio - Bandeirantes"
"393","Ventania/RGI de Telêmaco Borba"
"394","Vera Cruz do Oeste/RGI de Cascavel"
"395","Verê/RGI de Francisco Beltrão"
"396","Virmond/RGI de Laranjeiras do Sul - Quedas do Iguaçu"
"397","Vitorino/RGI de Pato Branco"
"398","Wenceslau Braz/RGI de Santo Antônio da Platina"
"399","Xambrê/RGI de Umuarama"
